Name,Mud Rating,Grass Rating,Dirt Rating,Preferred Length,Air Rating,Paradisus Rating,Kitchen Rating
Seek Amount,8,6,8,7,3,2,1
Him Sometimes,7,2,6,6,5,4,2
Could Turn,3,6,2,12,9,8,3
Age Miss,6,7,2,5.5,6,2,7
Traditional Player,8,1,9,6,7,4,2
Director Kid,9,3,7,5,9,6,1
Quite Plan,9,8,8,6,4,2,5
Throughout Present,5,10,7,6,1,3,8
Eight Of,6,5,2,6,5,6,2
Off Early,10,4,10,5.5,1,6,7
Season Morning,9,10,2,7,4,9,6
Style Meet,4,4,4,5.5,6,2,9
Save Group,2,8,8,8,1,6,9
Later Begin,5,1,3,9,2,4,7
Realize No,2,2,8,10,7,8,6
Official Role,8,3,1,5,6,3,1
Career Population,5,2,1,5.5,3,9,2
Recently Employee,2,10,6,9,8,1,6
Cut Challenge,8,4,7,5,2,5,4
Want Type,8,8,5,5.5,6,7,2
Reflect Standard,8,2,6,10,7,4,5
Look Admit,1,7,6,5.5,3,1,2
So Bill,4,7,9,7,5,8,4
Miss Keep,6,1,5,8,7,4,8
Type Especially,9,9,8,7,4,2,8
Win Though,4,2,1,9,6,3,8
Show Knowledge,8,6,5,5.5,9,7,2
Fall Believe,3,2,3,8,1,3,7
Somebody Recognize,10,8,10,7,6,1,5
Bank Serious,6,2,9,5.5,8,4,6
Affect Discussion,4,1,1,5.5,3,8,1
Election Father,3,2,9,9,1,9,7
Form Forget,1,1,9,9,8,3,9
Identify Responsibility,10,7,3,5,6,7,3
Fish Recognize,3,5,10,10,1,5,2
Support Cut,4,3,8,8,5,7,9
Pressure Tend,9,2,1,8,7,5,3
Parent Hit,1,4,6,9,5,7,1
Until Station,3,2,6,5,4,8,6
Choose Role,8,3,10,10,2,4,5
Boy Less,4,4,2,9,6,9,1
Catch Ten,3,2,3,9,6,4,5
Write Much,7,8,1,7,3,1,9
Night Year,6,8,2,9,4,2,1
Social Military,2,8,8,10,9,6,3
Stage Under,8,8,9,5.5,3,4,1
Suddenly Choose,3,1,3,12,5,7,3
Federal Late,1,7,2,7,9,8,6
Many Case,1,3,8,8,2,4,1
Be Town,3,4,4,8,9,6,2
Effect Especially,10,4,10,7,3,5,7
Need Ask,1,5,2,6,7,1,8
Trip Easy,8,1,9,9,6,3,9
Detail Bed,4,2,7,10,2,7,9
There Their,2,10,6,5.5,5,2,3
Peace Employee,7,10,6,5,5,9,2
Student Bit,4,3,1,9,4,8,2
Pm Single,4,5,5,5.5,8,9,2
Hold From,9,2,9,12,5,3,9
Dog Difficult,2,5,3,6,2,6,7
Difference Billion,6,2,6,9,5,1,4
Hot Popular,8,9,2,5.5,4,3,2
Dog Example,5,6,2,12,4,2,5
Reveal Foot,2,3,2,10,8,3,9
Effect Vote,6,10,10,9,7,6,4
Range Speech,5,2,10,10,8,1,6
Blood Employee,3,10,10,12,6,1,7
Area Lose,1,2,2,7,8,1,4
Resource Standard,8,2,10,6,2,3,9
Drive Chance,10,5,3,6,7,3,5
Future When,8,9,1,5,2,3,6
Outside Learn,5,7,5,7,6,9,8
Program Civil,9,5,7,5.5,8,2,1
Environment Movie,6,3,3,7,1,8,3
Also Marriage,4,10,9,8,2,7,6
Some Suggest,7,5,3,5.5,9,4,1
It Throw,10,9,6,12,7,2,6
Blood Simple,8,9,4,10,3,5,1
Power Me,3,4,9,12,7,1,8
Wife Eat,4,6,6,6,5,2,7
Measure Try,8,6,4,12,9,8,4
Get Degree,7,8,10,5.5,4,1,8
Film Catch,5,1,7,5.5,6,7,9
Soldier Town,9,7,9,12,1,9,3
Particular How,5,5,2,5,6,2,3
Teacher Training,10,10,8,5.5,1,6,7
About Course,6,2,7,10,5,8,1
Pretty Above,4,8,1,6,3,9,4
Century Culture,5,6,7,8,9,6,2
Pm Field,9,1,10,6,2,9,3
Green Political,5,9,7,5.5,4,8,9
Century Man,3,6,10,5.5,7,9,8
Last Here,2,4,3,10,9,6,1
Beyond Successful,8,6,2,7,3,7,9
Play Future,9,5,5,8,2,7,1
Anyone Approach,10,10,9,10,7,4,8
Carry Commercial,9,10,1,10,1,7,9
Democratic Herself,8,5,10,9,2,5,3
House Your,9,1,6,5,2,7,8
Owner Professional,1,9,3,9,6,2,8
Address Media,5,7,8,5.5,9,6,1
Task Think,10,4,4,8,3,8,9
Democratic Stock,7,2,3,7,4,6,1
Trip Law,5,8,8,7,3,6,1
Clear Perform,7,9,5,12,2,6,7
Put Goal,8,7,6,9,1,7,5
Blue White,8,10,6,8,4,8,9
Cost Lawyer,5,2,8,8,9,4,5
Traditional Senior,1,2,10,9,4,3,2
Election Why,2,8,7,10,9,7,1
Water North,9,4,5,10,8,9,3
Customer Court,4,10,2,7,3,8,1
Campaign Return,7,4,8,9,3,1,6
Just Game,5,8,2,12,1,6,3
Raise School,6,1,7,5.5,3,7,9
Late Husband,2,6,10,10,3,9,1
Available Just,1,3,6,6,9,3,5
Hit Company,5,8,2,9,7,1,2
Church Consumer,5,10,2,5,7,3,1
Someone Ten,7,9,4,6,5,7,2
Body Later,5,7,4,6,8,4,9
Should Piece,8,10,7,9,1,7,4
Address Them,9,6,3,5,3,5,1
Win Maintain,2,4,1,8,5,1,7
Bag Study,7,8,8,9,2,5,8
Democrat Help,7,2,1,8,1,3,5
Later Decade,1,10,8,12,3,8,5
Today Chance,4,1,3,9,8,7,1
Compare Old,2,7,4,12,5,9,4
Pick Dog,4,3,5,6,8,7,9
Remain Peace,5,10,4,5,1,9,2
Something Radio,5,3,10,7,6,4,9
Community Health,10,7,10,9,6,2,7
Be By,3,9,4,9,7,4,1
But Some,8,10,7,5.5,1,7,9
Want Necessary,6,10,8,5.5,9,7,2
Situation Approach,7,3,7,8,6,4,7
On Class,6,5,7,9,4,8,6
Paper Since,1,9,9,5,6,7,9
Seek Safe,10,10,1,7,9,1,4
Skill Concern,1,1,2,10,6,1,7
Lead Chance,4,7,6,5.5,8,9,7
Full Just,8,1,10,7,5,6,3
Station War,9,2,8,9,4,7,2
Any Democrat,5,7,2,5.5,3,5,7
Work Democrat,2,5,6,10,7,2,1
Scene Bank,8,1,4,9,6,2,4
Gas Professional,2,3,5,9,1,8,2
Defense A,3,4,8,6,7,1,8
True Surface,2,6,1,6,4,8,2
Ruhao,10,10,10,10,10,10,10
Jeff,5,8,9,8,6,9,8
Eric,0,0,0,0,0,0,0